#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-5857.43181,300,113.355987
-5104.78941,300,113.523698
-7194.100438,300,113.674191
-6807.882966,300,114.826544
-3350.042412,300,114.99273
-4785.891062,300,115.14024
-5668.12,300,115.286539
-5697.414672,300,115.450681
-6427.064049,300,115.601501
-8273.389501,300,116.748458
-6560.203985,300,116.922793
-7013.573872,300,117.10108
-5783.569224,300,117.256825
-8463.442484,300,117.415289
-9286.755469,300,117.577009
-7208.784978,300,117.726451
-7138.484636,300,118.958646
-6093.07838,300,119.146348
-5590.553593,300,119.301319
-5523.496249,300,119.451742
-2171.602577,117,119.509348
-5299.683697,300,119.670048
-9533.275309,300,119.820089
-5614.057744,300,119.976084
-5218.528557,300,121.161169
-10365.383898,300,121.335702
-4030.489823,300,121.490006
-4638.483083,300,121.638839
-8031.689891,300,121.801163
-8273.920507,300,121.954583
-5675.593758,300,123.108254
-7221.852546,300,123.300266
-3473.110566,300,123.453274
-4321.125975,300,123.612362
-6444.225393,300,123.761699
-6041.975552,300,123.923152
-5876.017851,300,124.074909
-6660.397882,300,125.214219
-4402.987434,300,125.402066
-5859.488496,300,125.555994
-6081.694224,300,125.704574
-8616.989729,300,125.868493
-5899.641795,300,126.018899
-5158.583362,300,126.172579
-3369.61595,300,127.317355
-3376.752453,300,127.501377
-2237.106344,134,127.572761
-4916.680381,300,127.721532
-6121.58715,300,127.872596
-6477.417163,300,128.035024
-8070.18549,300,128.184869
-6412.92833,300,129.320104
-4285.122375,300,129.513712
-6057.655027,300,129.670227
-4513.357398,300,129.820484
-5634.347412,300,129.981764
-6136.269128,300,130.13161
-8094.217366,300,130.281925
-6496.518658,300,131.427061
-6969.331628,300,131.615212
-9638.791907,300,131.76681
-4496.596006,300,131.915057
-6711.225547,300,132.076219
-8342.096216,300,132.224625
-4015.96077,300,132.384225
-4586.872469,300,133.5529
-3427.173955,300,133.724262
-816.430822,72,133.760575
-3537.653337,300,133.910717
-7237.553313,300,134.071268
-5625.647963,300,134.222006
-5083.161426,300,134.380043
-5610.185199,300,134.531679
-6523.646659,300,135.713376
-112.66501,23,135.727802
-7648.056759,300,135.891796
-4975.828838,300,136.041314
-3590.495301,300,136.204902
-7259.784846,300,136.362597
-11111.062045,300,136.515301
-7488.882881,300,137.663339
-7510.249789,300,137.845633
-4769.469215,300,138.000448
-6840.269206,300,138.149631
-7461.456367,300,138.319609
-5513.021076,300,138.468284
-7152.647351,300,138.619764
-9079.919719,300,139.791677
-4564.900708,300,139.969309
-6140.187051,300,140.123712
-3519.659119,300,140.287702
-93.249496,30,140.303674
-4623.959027,300,140.455132
-4261.51129,300,140.605962
-7463.647539,300,140.767864
-5619.315499,300,141.951159
-9119.574354,300,142.125474
-3300.370847,300,142.279742
-6687.92194,300,142.45687
-6683.384041,300,142.607623
-6681.733056,300,142.759819
-5989.410952,300,142.922867
-5456.890343,300,144.090442
-5095.45866,300,144.2585
-7901.816919,300,144.420154
-5560.904384,300,144.571738
-3379.03398,300,144.721549
-6630.590009,300,144.873559
-8213.24703,300,145.03708
-6758.942551,300,146.211932
-5293.170936,300,146.376087
-5339.44744,300,146.54085
-5284.392448,300,146.68992
-6064.275739,300,146.839217
-984.061713,74,146.877491
-6528.300313,300,147.040519
-3503.274632,300,148.2039
-3245.687731,257,148.365251
-4496.826534,300,148.517952
-4360.797791,300,148.681446
-6312.367859,300,148.83305
-6073.536352,300,148.985255
-8302.333883,300,149.151799
-4866.10883,300,150.316429
-4939.444971,300,150.492762
-2888.214353,300,150.654543
-9323.527957,300,150.810686
-199.904278,29,150.825495
-4772.823306,300,150.975058
-11444.537868,300,151.12711
-9736.882767,300,151.301673
-6896.591529,300,152.497449
-5932.363222,300,152.666262
-4586.588911,300,152.829369
-6554.453735,300,152.979881
-10657.416677,300,153.132145
-4901.135206,300,153.296078
-6805.854156,300,153.448553
-5222.262675,300,154.630225
-7832.04406,300,154.796201
-6212.488496,300,154.961823
-6294.011807,300,155.110393
-4168.977231,300,155.263593
-7237.817715,300,155.427585
-4542.55328,300,155.577712
-7088.308632,300,156.761327
-5280.203556,300,156.931482
-5143.733567,300,157.084391
-5932.262139,300,157.233999
-4286.80664,300,157.385604
-5510.914685,300,157.549589
-6563.386164,300,158.701943
-5814.98835,300,158.885522
-6195.080943,300,159.050333
-4996.702718,300,159.201673
-4264.986082,300,159.353351
-3309.20732,300,159.516594
-6457.422609,300,159.677227
-6765.141351,300,160.848698
-5459.778069,300,161.027364
-4303.213676,300,161.190876
-4314.589147,300,161.340039
-6813.259241,300,161.495375
-6172.984938,300,161.657515
-8144.431538,300,161.809688
-4396.481288,300,162.972222
-5052.94151,300,163.162411
-3865.224637,300,163.319487
-5742.55852,300,163.471591
-5803.749211,300,163.623786
-5014.203307,300,163.792796
-7592.72317,300,163.945042
-4600.854552,300,165.215841
-6673.426154,300,165.405429
-3050.507094,300,165.558774
-10272.780483,300,165.707455
-2988.936062,300,165.873982
-1994.670951,131,165.939637
-5150.351923,300,166.092786
-8538.948049,300,167.276604
-3777.198215,300,167.469389
-6075.512936,300,167.626099
-168.36109,24,167.63761
-5084.12964,300,167.791399
-4849.165659,300,167.96066
-6804.055708,300,168.11937
-6038.286135,300,168.272315
-3898.294188,300,169.458774
-5314.675393,300,169.650693
-3745.914516,300,169.803747
-7665.166921,300,169.956652
-7432.349526,300,170.122988
-4804.929374,300,170.275539
-4130.393859,300,170.430462
-6905.300793,300,171.63707
-5476.402646,300,171.802928
-8345.685026,300,171.955155
-6560.304355,300,172.108737
-7077.463043,300,172.275547
-4199.359152,300,172.433268
-6758.226198,300,172.59849
-3576.580328,300,173.817317
-4493.719784,300,173.976845
-4206.99509,300,174.12841
-6414.896128,300,174.28714
